species,body_mass_kg,trophic_guild,probability_extinction
Cercopithecus diana,4,herbivore,0.50
Marmota caudata,4,herbivore,0.22
Paguma larvata,4,carnivore,0.20
Marmota caligata,4,herbivore,0.24
Macaca sinica,4,herbivore,0.54
Sciurus flammifer,4,herbivore,0.35
Cynogale bennettii,4,omnivore,0.75
Nyctereutes procyonoides,4,omnivore,0.23
Cercopithecus mona,4,herbivore,0.17
Macropus parma,4,herbivore,0.38
Hystrix sumatrae,4,herbivore,0.22
Tamandua mexicana,4,insectivore,0.22
Thylogale lanatus,4,herbivore,0.73
Propithecus coquereli,4,herbivore,0.57
Bradypus torquatus,4,herbivore,0.41
Spilocuscus maculatus,4,herbivore,0.25
Chlorocebus aethiops,4,herbivore,0.16
Otocyon megalotis,4,omnivore,0.24
Bradypus variegatus,4,herbivore,0.19
Eira barbara,4,carnivore,0.20
Coendou prehensilis,4,herbivore,0.20
Bradypus tridactylus,4,herbivore,0.18
Nasua narica,4,herbivore,0.20
Petrogale brachyotis,4,herbivore,0.24
Propithecus deckenii,4,herbivore,0.58
Hydrictis maculicollis,4,carnivore,0.36
Neotragus pygmaeus,4,herbivore,0.26
Leopardus geoffroyi,4,carnivore,0.21
Cabassous unicinctus,4,insectivore,0.20
Procolobus verus,4,herbivore,0.40
Dasypus novemcinctus,4,insectivore,0.23
Varecia rubra,4,herbivore,0.75
Tragulus nigricans,4,herbivore,0.65
Tragulus williamsoni,4,herbivore,0.41
Varecia variegata,4,herbivore,0.76
Urocyon cinereoargenteus,4,herbivore,0.24
Tragulus versicolor,4,herbivore,0.40
Cabassous centralis,4,insectivore,0.36
Marmota monax,4,herbivore,0.25
Cercopithecus campbelli,4,herbivore,0.18
Nasua nasua,4,herbivore,0.20
Thryonomys swinderianus,4,herbivore,0.26
Martes pennanti,4,carnivore,0.25
Lepus europaeus,4,herbivore,0.25
Marmota flaviventris,4,herbivore,0.23
Tragulus kanchil,4,herbivore,0.23
Lepus alleni,4,herbivore,0.27
Leopardus guigna,4,carnivore,0.48
Thylogale brunii,4,herbivore,0.52
Propithecus coronatus,4,herbivore,0.58
Propithecus verreauxi,4,herbivore,0.56
Vulpes lagopus,4,carnivore,0.22
Cercopithecus ascanius,4,herbivore,0.17
Propithecus tattersalli,4,herbivore,0.80
Paradoxurus jerdoni,4,omnivore,0.24
Aonyx cinereus,4,insectivore,0.51
Dasyprocta fuliginosa,4,herbivore,0.25
Ichneumia albicauda,4,insectivore,0.23
Otocolobus manul,4,carnivore,0.37
Marmota camtschatica,4,herbivore,0.22
Marmota marmota,4,herbivore,0.21
