"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"Artiodactyla","Aletomeryx occidentalis",10.34,"herbivore",18.8,18.8,"Miocene","Miocene","lyons"
"Artiodactyla","Alforjas taylori",13.19486134,"herbivore",8.4,7.15,"Miocene","Miocene","lyons"
"Artiodactyla","Ammodorcas clarkei",10.2417373155637,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Ammotragus lervia",10.77895628989,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Amphimoschus artenensis",10.12676924,"herbivore",16.435,16.435,"Miocene","Miocene","lyons"
"Artiodactyla","Amphimoschus ponteleviensis",10.37314584,"herbivore",16.435,16.435,"Miocene","Miocene","lyons"
"Artiodactyla","Amphiprox anocerus",10.81984735,"herbivore",10.4,8.225,"Miocene","Miocene","lyons"
"Artiodactyla","Andegameryx serum",8.411343345,"herbivore",18.45,17.985,"Miocene","Miocene","lyons"
"Artiodactyla","Anthracotherium pangan",12.80765263,"herbivore",37.15,37.15,"Eocene","Eocene","lyons"
"Artiodactyla","Anthracotherium punjabiense",10.29946312,"herbivore",14.81,12.375,"Miocene","Miocene","lyons"
"Artiodactyla","Antiacodon vanvaleni",7.649692624,"herbivore",52.1,52.1,"Eocene","Eocene","lyons"
"Artiodactyla","Antiacodon venustus",8.038,"herbivore",49.55,43.85,"Eocene","Eocene","lyons"
"Artiodactyla","Antidorcas australis",10.5966347330961,"herbivore",2.58,0.007,"Pleistocene","Holocene","mom"
"Artiodactyla","Antidorcas bondi",10.4341158035983,"herbivore",2.58,0.007,"Pleistocene","Holocene","mom"
"Artiodactyla","Antidorcas marsupialis",10.3577428248137,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Antidorcas recki",10.23959591,"herbivore",3.96,1.2935,"Pliocene","Pleistocene","lyons"
"Artiodactyla","Antilocapra americana",10.6380988415588,"herbivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Artiodactyla","Antilope cervicapra",10.5320962119585,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Aragoral mudejar",11.62344955,"herbivore",9.2,9.2,"Miocene","Miocene","lyons"
"Artiodactyla","Archaeotherium lemleyi",13.959,"omnivore",32.8,32.8,"Oligocene","Oligocene","lyons"
"Artiodactyla","Archaeotherium mortoni",11.99887837,"omnivore",36.6,33.2,"Eocene","Oligocene","lyons"
"Artiodactyla","Archaeotherium trippensis",15.048,"omnivore",24.5,24.5,"Oligocene","Oligocene","lyons"
"Artiodactyla","Arretotherium acridens",12.12027421,"herbivore",22.3,18.65,"Miocene","Miocene","lyons"
"Artiodactyla","Arretotherium fricki",11.89205271,"herbivore",19.9,17.375,"Miocene","Miocene","lyons"
"Artiodactyla","Arretotherium leptodus",11.3839807,"herbivore",23.25,23.25,"Oligocene","Oligocene","lyons"
"Artiodactyla","Aureliachoerus aurelianensis",9.852761613,"omnivore",21.2,13.2,"Miocene","Miocene","lyons"
"Artiodactyla","Australocamelus orarius",11.6865,"herbivore",18.65,18.65,"Miocene","Miocene","lyons"
"Artiodactyla","Auxontodon pattersoni",8.481,"herbivore",41.55,41.55,"Eocene","Eocene","lyons"
"Artiodactyla","Axis axis",11.1562505210315,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Axis eurygonos",11.3839807,"herbivore",1.6845,1.6845,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Axis porcinus",10.4631033404715,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Barbouromeryx trigonocorneus",10.032867259,"herbivore",19.55,17.375,"Miocene","Miocene","lyons, lyons"
"Artiodactyla","Bathygenys alpha",7.795245132,"herbivore",38.6,35.65,"Eocene","Eocene","lyons"
"Artiodactyla","Bathygenys reevesi",8.151898471,"herbivore",37.1,36.55,"Eocene","Eocene","lyons"
"Artiodactyla","Beatragus hunteri",11.289781938656,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Birgerbohlinia schaubi",13.5921598,"herbivore",8.225,8.225,"Miocene","Miocene","lyons"
"Artiodactyla","Bison antiquus",13.82932607,"herbivore",1.3,0.006,"Pleistocene","Holocene","lyons"
"Artiodactyla","Bison bison",13.2694985540356,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Bison bonasus",13.1223633774043,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Bison degiulii",13.41025558,"herbivore",1.6845,1.357,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Bison latifrons",13.7800996861532,"herbivore",2.58,0.02,"Pleistocene","Pleistocene","lyons, mom"
"Artiodactyla","Bison priscus",13.1684841476241,"herbivore",2.58,0.0098,"Pleistocene","Holocene","mom"
"Artiodactyla","Bison priscus",13.7628303011532,"herbivore",2.58,0.012,"Pleistocene","Pleistocene","lyons, mom"
"Artiodactyla","Bison schoetensacki",13.34348061,"herbivore",1.6845,0.4535,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Blancocamelus meadei",14.17876382,"herbivore",3.3,3,"Pliocene","Pliocene","lyons"
"Artiodactyla","Blastocerus dichotomus",11.3698198020872,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Blastomeryx gemmifer",9.3307961705,"herbivore",18.45,12.3,"Miocene","Miocene","lyons, lyons"
"Artiodactyla","Blickomylus galushai",9.74,"herbivore",20.6,18.25,"Miocene","Miocene","lyons"
"Artiodactyla","Bohlinia attica",13.38492715,"herbivore",7.498,3.96,"Miocene","Pliocene","lyons"
"Artiodactyla","Bootherium bombifrons",13.2437100240142,"herbivore",2.58,0.00941,"Pleistocene","Holocene","lyons, mom"
"Artiodactyla","Bos javanicus",13.4588356140255,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Bos primigenius",13.86386484,"herbivore",1.6845,0.006,"Pleistocene","Holocene","lyons"
"Artiodactyla","Bos sauveli",13.5923670066501,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Boselaphus tragocamelus",12.0376539939052,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Bothriodon advena",12.63424466,"herbivore",36.9,36.9,"Eocene","Eocene","lyons"
"Artiodactyla","Bouromeryx americanus",10.958270385,"herbivore",17.95,13,"Miocene","Miocene","lyons, lyons"
"Artiodactyla","Bouromeryx submilleri",10.76851982,"herbivore",19.1,17.65,"Miocene","Miocene","lyons"
"Artiodactyla","Brachycrus buwaldi",12.43,"herbivore",17.65,15.05,"Miocene","Miocene","lyons"
"Artiodactyla","Brachycrus laticeps",12.49833049,"herbivore",16.85,16.6,"Miocene","Miocene","lyons"
"Artiodactyla","Brachycrus rusticus",11.295,"herbivore",18.2,18.2,"Miocene","Miocene","lyons"
"Artiodactyla","Brachycrus siouense",11.64957425,"herbivore",17.2,13.95,"Miocene","Miocene","lyons"
"Artiodactyla","Brachyhyops viensis",12.264,"omnivore",37.75,36.7,"Eocene","Eocene","lyons"
"Artiodactyla","Brachyhyops wyomingensis",11.485,"omnivore",38.75,36.5,"Eocene","Eocene","lyons"
"Artiodactyla","Brachyodus onoideus",13.67735545,"herbivore",21.2,16.435,"Miocene","Miocene","lyons"
"Artiodactyla","Bubalus bubalis",10.5320962119585,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Budorcas taxicolor",12.618182296357,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Bunolistriodon adelli",11.47147893,"omnivore",17.985,17.985,"Miocene","Miocene","lyons"
"Artiodactyla","Bunolistriodon lockharti",11.67871159,"omnivore",18.2,14.81,"Miocene","Miocene","lyons"
"Artiodactyla","Bunolistriodon meidamon",11.3839807,"omnivore",14.81,13.2,"Miocene","Miocene","lyons"
"Artiodactyla","Bunomeryx montanus",7.842,"herbivore",43,41.15,"Eocene","Eocene","lyons, lyons"
"Artiodactyla","Bunophorus etsagicus",8.978,"herbivore",54.2,52.2,"Eocene","Eocene","lyons"
"Artiodactyla","Bunophorus grangeri",9.106346283,"herbivore",54.5,52.85,"Eocene","Eocene","lyons"
"Artiodactyla","Bunophorus macropternus",8.567,"herbivore",53.4875,52.25,"Eocene","Eocene","lyons"
"Artiodactyla","Bunophorus pattersoni",8.16241514,"herbivore",58.55,52.7,"Paleocene","Eocene","lyons"
"Artiodactyla","Bunophorus robustus",8.149,"herbivore",55.7,52.7,"Eocene","Eocene","lyons"
"Artiodactyla","Bunophorus sinclairi",9.075025613,"herbivore",52.4,50.9375,"Eocene","Eocene","lyons"
"Artiodactyla","Cainotherium commune",13.81551056,"herbivore",22.715,21.2,"Miocene","Miocene","lyons"
"Artiodactyla","Camelops hesternus",13.7787301494422,"herbivore",3.5,0.00941,"Pliocene","Holocene","lyons, lyons, lyons, mom"
"Artiodactyla","Camelops minidokae",13.65893477,"herbivore",1.15,0.4,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Camelus dromedarius",12.9042073676012,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Camelus knoblochi",13.2168384340449,"herbivore",2.58,0.1,"Pleistocene","Pleistocene","mom"
"Artiodactyla","Camelus knoblochi",13.21683843,"herbivore",1.3,1.3,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Camelus thomasi",13.12473503,"herbivore",1.3,0.4535,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Capra caucasica",10.9150884642146,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra falconeri",10.6213273456864,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra hircus",11.2252433925184,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra ibex",11.5228726374026,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra ibex",11.1466810652077,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra nubiana",11.2771990934663,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra nubiana",10.7418167429406,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra pyrenaica",10.8197782844103,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra sibirica",11.7752897294377,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capra walie",11.5129254649702,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capreolus capreolus",10.0212705881925,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capreolus pygargus",10.6862974276517,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capricamelus gettyi",13.79248471,"herbivore",2.8,2.8,"Pliocene","Pliocene","lyons"
"Artiodactyla","Capricornis rubidus",9.61580261341357,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capricornis sumatraensis",11.3793940723457,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Capromeryx furcifer",9.460603074,"herbivore",0.4,0.069,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Capromeryx mexicana",9.61580548008435,"herbivore",2.58,0.012,"Pleistocene","Pleistocene","mom"
"Artiodactyla","Capromeryx minor",9.03792018598809,"herbivore",2.58,0.012,"Pleistocene","Pleistocene","lyons, mom"
"Artiodactyla","Capromeryx tauntonensis",9.867117364,"herbivore",4.2,3,"Pliocene","Pliocene","lyons"
"Artiodactyla","Catagonus wagneri",10.4791568477516,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus adersi",9.13237483049847,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus callipygus",9.81191372885167,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus dorsalis",9.90348755253613,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus jentinki",11.156255035307,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus leucogaster",9.44934868973269,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus natalensis",9.39265909543279,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus niger",9.92328978767537,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus nigrifrons",9.53963303992072,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus ogilbyi",9.90348755253613,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus rufilatus",9.39265909543279,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus silvicultor",11.1913464339357,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus spadix",10.9331115054213,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus weynsi",9.74096862303835,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cephalophus zebra",9.76996067418713,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cervalces latifrons",12.89908169,"herbivore",1.3,1.3,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Cervalces scotti",13.3533223365645,"herbivore",2.58,0.01023,"Pleistocene","Holocene","lyons, mom"
"Artiodactyla","Cervavitulus mimus",9.903418485,"herbivore",8.225,8.225,"Miocene","Miocene","lyons"
"Artiodactyla","Cervavitus novorossiae",11.28957471,"herbivore",9.427,5.723,"Miocene","Miocene","lyons"
"Artiodactyla","Cervavitus sarmaticus",11.28957471,"herbivore",8.47,8.47,"Miocene","Miocene","lyons"
"Artiodactyla","Cervavitus variabilis",11.08234205,"herbivore",9.427,3.96,"Miocene","Pliocene","lyons"
"Artiodactyla","Cervus canadensis",12.67573094,"herbivore",2.588,0,"Pleistocene","Holocene","supp"
"Artiodactyla","Cervus elaphus",11.9592125099986,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cervus elaphus",12.0231258933423,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Cervus elaphus",12.4838035621635,"herbivore",3.96,0,"Pliocene","Holocene","lyons, mom"
"Artiodactyla","Cervus nippon",10.8780471925343,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Chleuastochoerus stehlini",10.71162585,"omnivore",10.154,6.325,"Miocene","Miocene","lyons"
"Artiodactyla","Colbertchoerus niobrarensis",10.68071319,"omnivore",12.75,11.7,"Miocene","Miocene","lyons"
"Artiodactyla","Connochaetes gnou",12.1007063631891,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Connochaetes taurinus",12.1007063631891,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Conohyus simorrensis",11.14220926,"omnivore",14.81,11.608,"Miocene","Miocene","lyons"
"Artiodactyla","Conohyus sindiensis",10.49978802,"omnivore",14.81,8.47,"Miocene","Miocene","lyons"
"Artiodactyla","Cosoryx (Subcosoryx) cerroensis",9.556857677,"herbivore",12.65,11.7,"Miocene","Miocene","lyons"
"Artiodactyla","Cosoryx furcatus",9.831303254,"herbivore",16.4,11.8,"Miocene","Miocene","lyons"
"Artiodactyla","Cranioceras teres",11.48,"herbivore",13.1,12.8,"Miocene","Miocene","lyons"
"Artiodactyla","Cranioceras unicornis",11.83382727,"herbivore",15.4,10.65,"Miocene","Miocene","lyons"
"Artiodactyla","Criotherium argalioides",12.20600358,"herbivore",9.427,8.47,"Miocene","Miocene","lyons"
"Artiodactyla","Croizetoceros ramosus",11.28957471,"herbivore",3.96,1.606,"Pliocene","Pleistocene","lyons"
"Artiodactyla","Dama hemionus",11.63,"herbivore",2.3,0.006,"Pleistocene","Holocene","lyons"
"Artiodactyla","Dama mesopotamica",11.19056355,"herbivore",1.3,0.3905,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Damalavus boroccoi",11.08234205,"herbivore",8.47,8.47,"Miocene","Miocene","lyons"
"Artiodactyla","Damaliscus lunatus",11.8204126794209,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Damaliscus pygargus",11.5327280922664,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Decennatherium pachecoi",13.70959164,"herbivore",10.154,10.154,"Miocene","Miocene","lyons"
"Artiodactyla","Delahomeryx browni",10.5945,"herbivore",21.05,21.05,"Miocene","Miocene","lyons"
"Artiodactyla","Desmathyus pinensis",11.34067121,"omnivore",21.25,17.375,"Miocene","Miocene","lyons"
"Artiodactyla","Desmatochoerus hatcheri",12.01488902,"herbivore",30.8,15.97,"Oligocene","Miocene","supp"
"Artiodactyla","Desmatochoerus hesperus",12.014,"herbivore",24.45,24.45,"Oligocene","Oligocene","lyons"
"Artiodactyla","Desmatochoerus megalodon",12.17251471,"herbivore",26.25,22.6,"Oligocene","Miocene","lyons"
"Artiodactyla","Diacodexis gracilis",6.941,"herbivore",56.05,56.05,"Paleocene","Paleocene","lyons"
"Artiodactyla","Diacodexis ilicis",7.058467111,"herbivore",55.5,55.5,"Eocene","Eocene","lyons"
"Artiodactyla","Diacodexis kelleyi",7.324,"herbivore",53.7,53.4875,"Eocene","Eocene","lyons"
"Artiodactyla","Diacodexis metsiacus",7.22,"herbivore",55.65,52.8,"Eocene","Eocene","lyons"
"Artiodactyla","Diacodexis minutus",7.008,"herbivore",52.3,50.9375,"Eocene","Eocene","lyons"
"Artiodactyla","Diacodexis primus",7.186,"herbivore",55.8,54.65,"Eocene","Eocene","lyons"
"Artiodactyla","Diacodexis secans",7.53,"herbivore",54.3,49.8,"Eocene","Eocene","lyons"
"Artiodactyla","Dicrocerus elegans",10.71392844,"herbivore",14.81,11.608,"Miocene","Miocene","lyons"
"Artiodactyla","Dinohyus hollandi",14.41227924,"omnivore",22.4,20.85,"Miocene","Miocene","lyons"
"Artiodactyla","Diplobunops matthewi",10.25775327,"herbivore",43.05,40.25,"Eocene","Eocene","lyons, lyons"
"Artiodactyla","Dorcabune anthracotherioides",10.79912409,"herbivore",14.81,12.375,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcadoryx orientalis",10.15670285,"herbivore",8.725,8.725,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium crassum",9.951772772,"herbivore",18.2,11.608,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium guntianum",9.210340372,"herbivore",16.435,13.2,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium jourdani",11.28957471,"herbivore",9.2,6.4,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium libiensis",9.903418485,"herbivore",19.5,19.5,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium majus",11.37937553,"herbivore",13.789,8.47,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium minus",8.800480225,"herbivore",13.789,7.016,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium naui",10.49057768,"herbivore",17.985,8.225,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium peneckei",11.00175157,"herbivore",15.275,14.81,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatherium vindobonense",10.20275455,"herbivore",14.81,13.2,"Miocene","Miocene","lyons"
"Artiodactyla","Dorcatragus megalotis",9.23502410647836,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Drepanomeryx falciformis",11.41,"herbivore",17.2,15.85,"Miocene","Miocene","lyons"
"Artiodactyla","Dromomeryx borealis",12.037039215,"herbivore",16.85,13.75,"Miocene","Miocene","lyons, lyons"
"Artiodactyla","Dyseohyus fricki",10.18317024,"omnivore",15.85,14,"Miocene","Miocene","lyons"
"Artiodactyla","Elaphodus cephalophus",10.4193007178132,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Elaphodus cephalophus",10.43071047,"herbivore",0.069,0.069,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Elaphurus davidianus",11.9117015849276,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Elomeryx armatus",11.78834531,"herbivore",33.65,30.75,"Oligocene","Oligocene","lyons"
"Artiodactyla","Eotragus artenensis",10.12676924,"herbivore",18.2,16.435,"Miocene","Miocene","lyons"
"Artiodactyla","Eotragus clavatus",10.30867346,"herbivore",14.81,11.925,"Miocene","Miocene","lyons"
"Artiodactyla","Eotragus sansaniensis",10.04387618,"herbivore",14.81,11.608,"Miocene","Miocene","lyons"
"Artiodactyla","Eotylopus reedi",10.19390691,"herbivore",38.05,35.65,"Eocene","Eocene","lyons"
"Artiodactyla","Eporeodon occidentalis",11.11766042,"herbivore",28.75,25.615,"Oligocene","Oligocene","lyons"
"Artiodactyla","Eporeodon trigonocephalus",10.902,"herbivore",28.75,28.75,"Oligocene","Oligocene","lyons"
"Artiodactyla","Euceratherium collinum",13.0585230758733,"herbivore",2.58,0.0115,"Pleistocene","Holocene","lyons, mom"
"Artiodactyla","Eucladoceros ctenoides",12.44086726,"herbivore",2.672,1.606,"Pliocene","Pleistocene","lyons"
"Artiodactyla","Eucladoceros dicranios",12.44086726,"herbivore",3.96,2.197,"Pliocene","Pleistocene","lyons"
"Artiodactyla","Eucladoceros tetraceros",12.40632848,"herbivore",1.6845,1.6845,"Pleistocene","Pleistocene","lyons"
"Artiodactyla","Eudorcas rufifrons",10.2035834782822,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Eudorcas thomsonii",9.92817128703831,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Eulamaops parallelus",11.9183905730784,"herbivore",2.58,0.015,"Pleistocene","Pleistocene","mom"
"Artiodactyla","Euprox dicranoceros",11.08234205,"herbivore",10.154,10.154,"Miocene","Miocene","lyons"
"Artiodactyla","Euprox furcatus",10.81984735,"herbivore",14.181,11.925,"Miocene","Miocene","lyons"
"Artiodactyla","Floridachoerus olseni",10.85755547,"omnivore",21.9,21.7,"Miocene","Miocene","lyons"
